発時刻,着時刻,時刻,路線名,行先,料金
18:01,4,18:07(6分),こうのとり19号,福知山行 【始発】,180
18:04,4,18:09,サンダーバード32号,大阪行,180
18:08,4,18:12,ＪＲ京都線,新三田行,180
18:08,4,18:12,ＪＲ京都線新快速,播州赤穂行,180
18:13,4,18:17,くろしお23号,白浜行,180
18:14,4,18:18,ＪＲ京都線,西明石行,180
18:16,4,18:20,JR京都線快速,網干行,180
18:23,4,18:27,ＪＲ京都線新快速,網干行,180
18:23,4,18:27,ＪＲ京都線,新三田行,180
18:28,4,18:32,はるか49号,関西空港行,180
18:29,4,18:33,ＪＲ京都線,西明石行,180
18:31,4,18:35,JR京都線快速,網干行,180
18:34,4,18:39,サンダーバード34号,大阪行,180
18:38,4,18:42,ＪＲ京都線,新三田行,180
18:38,4,18:42,ＪＲ京都線新快速,播州赤穂行,180
18:41,4,18:45,エキスポライナー,桜島行 【始発】,180
18:44,4,18:48,ＪＲ京都線,西明石行,180
18:44,4,18:48,くろしお25号,和歌山行 【始発】,180
18:46,4,18:50,JR京都線快速,姫路行,180
18:53,4,18:57,ＪＲ京都線新快速,姫路行,180
18:53,4,18:57,ＪＲ京都線,新三田行,180
18:58,4,19:02,はるか51号,関西空港行,180
18:59,4,19:03,ＪＲ京都線,西明石行,180
19:01,4,19:05,JR京都線快速,網干行,180
19:03,4,19:07,サンダーバード36号,大阪行,180
19:05,4,19:09,こうのとり21号,福知山行 【始発】,180
19:08,4,19:12,ＪＲ京都線,新三田行,180
19:08,4,19:13,ＪＲ京都線新快速,播州赤穂行,180
19:13,4,19:17,くろしお27号,新宮行 【始発】,180
19:14,4,19:18,ＪＲ京都線,西明石行,180
19:16,4,19:20,JR京都線快速,姫路行,180
19:23,4,19:27,ＪＲ京都線,新三田行,180
19:23,4,19:28,ＪＲ京都線新快速27号,網干行,180
19:28,4,19:32,はるか53号,関西空港行,180
19:29,4,19:33,ＪＲ京都線,西明石行,180
19:31,4,19:35,JR京都線快速,網干行,180
19:33,4,19:37,サンダーバード38号,大阪行,180
19:38,4,19:42,ＪＲ京都線,新三田行,180
19:38,4,19:43,ＪＲ京都線新快速,播州赤穂行,180
19:44,4,19:48,ＪＲ京都線,西明石行,180
19:44,4,19:48,エキスポライナー,桜島行 【始発】,180
19:46,4,19:50,JR京都線快速,網干行,180
19:53,4,19:57,ＪＲ京都線新快速29号,網干行,180
19:53,4,19:57,ＪＲ京都線,新三田行,180
19:58,4,20:02,はるか55号,関西空港行,180
19:59,4,20:03,ＪＲ京都線,西明石行,180
20:01,4,20:05,JR京都線快速,網干行,180
20:02,4,20:06,こうのとり23号,福知山行 【始発】,180
20:04,4,20:09,サンダーバード40号,大阪行,180
20:08,4,20:12,ＪＲ京都線,新三田行,180
20:09,4,20:13,ＪＲ京都線新快速,播州赤穂行,180
20:13,4,20:17,くろしお29号,白浜行 【始発】,180
20:14,4,20:18,ＪＲ京都線,西明石行,180
20:16,4,20:20,JR京都線快速,姫路行,180
20:23,4,20:27,ＪＲ京都線新快速,姫路行,180
20:23,4,20:27,ＪＲ京都線,新三田行,180
20:28,4,20:32,はるか57号,関西空港行,180
20:29,4,20:33,ＪＲ京都線,西明石行,180
20:31,4,20:35,JR京都線快速,姫路行,180
20:34,4,20:38,サンダーバード42号,大阪行,180
20:38,4,20:42,ＪＲ京都線新快速,姫路行,180
20:38,4,20:42,ＪＲ京都線,新三田行,180
20:44,4,20:48,ＪＲ京都線,西明石行,180
20:46,4,20:50,JR京都線快速,播州赤穂行,180
20:53,4,20:57,ＪＲ京都線,宝塚行,180
20:53,4,20:57,ＪＲ京都線新快速31号,上郡行,180
20:58,4,21:02,はるか59号,関西空港行,180
21:00,4,21:04,ＪＲ京都線,西明石行,180
21:01,4,21:05,こうのとり25号,福知山行 【始発】,180
21:02,4,21:06,JR京都線快速,加古川行,180
21:04,4,21:09,サンダーバード44号,大阪行,180
21:10,4,21:14,ＪＲ京都線,新三田行,180
21:13,4,21:17,ＪＲ京都線新快速,網干行,180
21:13,4,21:17,くろしお31号,紀伊田辺行 【始発】,180
21:20,4,21:24,ＪＲ京都線,神戸行,180
21:22,4,21:26,JR京都線快速,網干行,180
21:30,4,21:34,サンダーバード46号,大阪行,180
21:30,4,21:34,ＪＲ京都線,新三田行,180
21:34,4,21:38,ＪＲ京都線新快速,上郡行,180
21:40,4,21:44,ＪＲ京都線,西明石行,180
21:42,4,21:46,JR京都線快速,播州赤穂行,180
21:44,4,21:49,くろしお33号,和歌山行 【始発】,180
21:50,4,21:54,ＪＲ京都線,新三田行,180
21:54,4,21:58,ＪＲ京都線新快速,網干行,180
22:00,4,22:04,ＪＲ京都線,西明石行,180
22:02,4,22:06,JR京都線快速,網干行,180
22:04,4,22:08,こうのとり27号,福知山行 【始発】,180
22:10,4,22:14,ＪＲ京都線,新三田行,180
22:14,4,22:17,ＪＲ京都線新快速,姫路行,180
22:20,4,22:24,ＪＲ京都線,西明石行,180
22:22,4,22:26,JR京都線快速,上郡行,180
22:27,4,22:31,サンダーバード48号,大阪行,180
22:30,4,22:34,ＪＲ京都線,新三田行,180
22:34,4,22:37,ＪＲ京都線新快速,網干行,180
22:40,4,22:44,ＪＲ京都線,西明石行,180
22:42,4,22:46,JR京都線快速,姫路行,180
22:47,4,22:51,くろしお35号,和歌山行 【始発】,180
22:50,4,22:54,ＪＲ京都線,新三田行,180
22:54,4,22:57,ＪＲ京都線新快速,姫路行,180
23:00,4,23:04,ＪＲ京都線,西明石行,180
23:02,4,23:06,JR京都線快速,姫路行,180
23:10,4,23:14,ＪＲ京都線,新三田行,180
23:14,4,23:17,ＪＲ京都線新快速,姫路行,180
23:24,4,23:28,ＪＲ京都線,宝塚行,180
23:25,4,23:29,サンダーバード50号,大阪行,180
23:28,4,23:32,JR京都線快速,姫路行,180
23:34,4,23:37,ＪＲ京都線,大阪行,180
23:38,4,23:42,ＪＲ京都線,西明石行,180
23:52,4,23:56,ＪＲ京都線,西明石行,180
23:55,4,23:58,ＪＲ京都線新快速,西明石行,180
23:59,4,0:03,ＪＲ京都線,大阪行,180
0:16,4,0:20,ＪＲ京都線,大阪行,180
0:41,4,0:45,ＪＲ京都線,大阪行,180
