発時刻,着時刻,所要時間,路線,行先,料金
21:32,21:36,4,はるか56号,京都行,180
21:38,21:42,4,こうのとり28号,新大阪行,180
21:40,21:44,4,JR京都線新快速,米原行,180
21:42,21:46,4,JR京都線,高槻行,180
21:50,21:54,4,JR京都線快速,野洲行,180
21:52,21:56,4,JR京都線,京都行,180
22:00,22:04,4,JR京都線新快速,米原行,180
22:02,22:06,4,JR京都線,高槻行,180
22:03,22:08,5,くろしお36号,新大阪行,180
22:10,22:14,4,JR京都線快速,米原行,180
22:11,22:15,4,はるか58号,京都行,180
22:12,22:16,4,JR京都線,京都行,180
22:20,22:24,4,JR京都線新快速,野洲行,180
22:22,22:26,4,JR京都線,高槻行,180
22:29,22:34,5,エキスポライナー,新大阪行,180
22:30,22:34,4,JR京都線快速,米原行,180
22:32,22:36,4,JR京都線,京都行,180
22:40,22:44,4,JR京都線新快速,野洲行,180
22:42,22:46,4,JR京都線,高槻行,180
22:50,22:54,4,JR京都線快速,米原行,180
22:52,22:56,4,JR京都線,京都行,180
23:00,23:04,4,JR京都線新快速,野洲行,180
23:02,23:06,4,JR京都線,高槻行,180
23:04,23:08,4,はるか60号,京都行,180
23:10,23:14,4,JR京都線快速,野洲行,180
23:13,23:17,4,JR京都線,京都行,180
23:20,23:24,4,JR京都線新快速,野洲行 【始発】,180
23:24,23:27,3,JR京都線,高槻行,180
23:33,23:37,4,JR京都線快速,野洲行,180
23:35,23:39,4,JR京都線,高槻行,180
23:45,23:48,3,JR京都線,高槻行,180
23:55,23:59,4,JR京都線,京都行,180
0:00,0:04,4,JR京都線新快速,京都行,180
0:10,0:14,4,JR京都線,高槻行,180
